period,Greater Adelaide,Greater Brisbane,Greater Darwin,Greater Hobart,Greater Melbourne,Greater Perth,Greater Sydney
2016-Q1,436.0,483.5,570.0,360.0,568.0,518.0,850.0
2016-Q2,440.0,495.0,548.0,365.0,610.0,520.0,895.0
2016-Q3,445.0,500.0,520.0,370.0,605.0,510.0,900.0
2016-Q4,447.0,515.0,522.0,392.0,675.0,525.0,985.5
2017-Q1,451.3,510.0,530.0,389.5,657.5,510.0,930.0
2017-Q2,450.0,518.0,500.0,400.0,720.0,506.0,1050.0
2017-Q3,451.0,525.0,500.0,395.0,692.0,500.0,950.0
2017-Q4,470.0,535.0,513.8,421.0,750.0,515.0,1029.0
2018-Q1,465.0,526.0,500.0,449.0,731.0,510.0,955.0
2018-Q2,468.0,532.0,506.0,457.8,750.0,510.0,973.1
2018-Q3,466.3,540.0,500.0,440.3,720.0,485.0,950.0
2018-Q4,480.0,540.0,510.0,465.0,735.0,489.0,940.0
2019-Q1,475.0,533.0,485.0,471.5,685.0,490.0,870.0
2019-Q2,478.5,538.0,470.0,490.0,700.0,480.0,897.0
2019-Q3,474.0,540.0,489.0,480.0,705.0,478.0,900.0
2019-Q4,485.0,550.0,470.0,517.0,760.0,495.0,985.0
2020-Q1,472.0,540.0,470.0,529.0,730.0,477.5,947.5
2020-Q2,487.5,547.0,465.0,520.0,720.0,475.0,955.0
2020-Q3,500.0,555.0,500.0,528.5,710.0,495.0,945.0
2020-Q4,512.5,575.0,522.5,567.7,760.0,528.0,999.0
2021-Q1,523.0,600.0,535.0,610.0,800.0,535.0,1052.0
2021-Q2,550.0,630.0,565.0,630.0,830.0,540.0,1206.4
2021-Q3,580.0,657.0,580.0,700.0,840.0,525.0,1300.0
2021-Q4,630.0,750.0,600.0,754.0,940.0,558.8,1360.0
2022-Q1,650.0,765.0,600.0,765.0,888.0,550.0,1325.0
2022-Q2,663.0,773.0,585.0,765.0,900.0,565.0,1350.0
2022-Q3,654.0,750.0,560.0,720.0,850.0,555.0,1300.0
2022-Q4,675.0,750.0,590.0,731.5,875.0,580.0,1300.0
2023-Q1,680.0,757.0,575.0,705.0,835.0,578.0,1250.1
2023-Q2,702.0,775.0,590.0,696.5,840.3,600.0,1355.0
2023-Q3,715.0,800.0,585.0,695.0,832.0,600.0,1370.0
2023-Q4,750.0,830.0,589.5,715.0,865.0,660.0,1420.0
2024-Q1,765.0,850.3,570.0,705.0,845.0,700.0,1401.0
2024-Q2,785.0,890.0,582.5,695.5,845.0,756.0,1455.0
2024-Q3,818.3,890.0,558.8,700.0,825.0,780.0,1410.0
2024-Q4,850.0,935.0,560.0,715.0,850.0,820.0,1450.0
2025-Q1,853.0,947.5,600.0,710.5,840.0,821.5,1450.0
2025-Q2,868.0,970.0,624.0,707.5,845.0,850.0,1520.0
2025-Q3,900.0,1020.0,670.0,715.0,846.8,871.0,1511.0
2025-Q4,950.0,1100.0,711.0,749.5,875.0,951.0,1515.0
