period,Australian Capital Territory,Greater Adelaide,Greater Brisbane,Greater Darwin,Greater Hobart,Greater Melbourne,Greater Perth,Greater Sydney,Weighted average of eight capital cities
2011-Q1,102.3,103.3,103.9,98.5,106.7,104.7,102.8,101.9,103.2
2011-Q2,102.3,101.0,102.9,95.4,103.0,103.5,99.6,102.1,102.2
2011-Q3,98.6,100.3,100.0,96.0,100.7,101.4,99.0,100.1,100.3
2011-Q4,100.7,100.3,100.1,97.6,102.2,100.2,99.5,98.9,99.7
2012-Q1,101.4,99.4,100.1,101.9,99.2,99.1,100.4,99.7,99.7
2012-Q2,99.4,99.9,99.7,104.4,97.9,99.4,101.0,101.2,100.3
2012-Q3,99.8,99.4,100.7,104.8,98.2,98.3,102.2,100.9,100.1
2012-Q4,102.1,100.1,101.7,108.5,98.0,100.2,105.7,103.4,102.3
2013-Q1,100.7,100.0,101.6,109.3,99.9,100.6,107.9,104.6,103.1
2013-Q2,101.2,100.7,103.1,110.6,99.8,102.7,111.1,108.5,105.6
2013-Q3,101.1,101.4,104.7,111.1,101.2,106.2,111.2,113.0,108.4
2013-Q4,101.8,105.2,107.5,113.8,103.6,110.2,114.5,119.9,113.0
2014-Q1,102.6,106.5,108.7,114.7,104.2,111.5,115.5,122.0,114.4
2014-Q2,103.9,106.7,110.9,115.4,104.6,113.1,115.5,126.8,116.8
2014-Q3,104.5,107.3,111.4,114.9,105.0,114.3,115.3,130.5,118.4
2014-Q4,105.5,108.6,113.2,114.0,106.0,116.6,115.3,135.2,120.9
2015-Q1,107.1,109.4,113.5,113.9,106.5,118.0,115.3,140.3,123.0
2015-Q2,108.2,110.0,114.5,113.3,106.6,123.5,114.2,154.0,129.1
2015-Q3,110.2,111.4,116.4,112.9,107.0,127.5,111.4,159.1,131.9
2015-Q4,113.7,112.8,118.4,110.8,109.8,129.8,111.9,155.7,132.1
2016-Q1,113.6,113.5,118.6,107.7,110.8,131.6,109.9,154.8,132.1
2016-Q2,116.8,114.6,120.0,105.6,111.5,135.7,108.8,159.7,135.1
2016-Q3,117.7,115.7,120.4,103.3,113.9,138.5,106.8,164.4,137.3
2016-Q4,121.2,117.7,123.9,102.1,118.9,146.8,107.7,174.4,143.8
2017-Q1,125.6,119.8,123.7,101.7,122.6,152.8,106.4,179.5,147.3
2017-Q2,127.3,120.4,124.7,100.6,125.1,157.4,105.8,183.3,150.1
2017-Q3,127.5,121.0,125.5,98.1,128.8,159.9,104.9,180.9,150.1
2017-Q4,129.6,121.8,127.2,97.1,133.9,164.0,106.3,180.5,151.8
2018-Q1,131.5,123.0,126.2,96.9,140.5,163.1,105.2,178.0,150.6
2018-Q2,132.2,123.3,127.3,96.2,144.5,161.5,105.4,175.8,149.7
2018-Q3,132.8,123.8,128.3,96.2,145.8,156.6,104.9,172.1,147.2
2018-Q4,132.3,123.9,127.0,96.3,146.2,151.6,104.0,165.4,143.4
2019-Q1,130.8,123.7,125.1,94.4,145.9,146.0,102.6,158.4,139.0
2019-Q2,131.6,122.8,124.0,93.0,146.4,144.5,101.5,158.1,138.1
2019-Q3,129.7,122.4,125.1,92.4,148.6,149.9,99.8,164.4,141.5
2019-Q4,134.0,124.4,127.6,91.7,152.4,158.2,101.2,172.9,147.4
2020-Q1,135.4,124.9,129.0,92.4,156.1,161.8,102.0,177.4,150.3
2020-Q2,136.5,123.6,127.8,91.1,155.5,157.3,101.7,172.7,147.2
2020-Q3,137.7,125.9,129.8,92.0,157.3,156.9,103.2,175.2,148.6
2020-Q4,142.5,129.2,133.6,94.2,162.4,162.7,106.3,182.1,153.8
2021-Q1,151.6,134.7,139.7,99.5,172.5,172.5,112.1,196.6,163.7
2021-Q2,165.1,142.9,148.3,103.7,183.3,185.0,117.7,215.5,176.3
2021-Q3,176.9,152.6,158.6,105.3,198.6,192.1,120.3,231.5,186.3
2021-Q4,189.2,164.3,175.8,106.7,211.9,200.1,123.8,242.0,196.1
