year,price,rent,price_g,rent_g
2013,390000.0,345.0,,
2014,401250.0,350.0,2.8846153846153744,1.449275362318847
2015,425500.0,360.0,6.0436137071651075,2.857142857142847
2016,460000.0,370.0,8.108108108108114,2.777777777777768
2017,537500.0,385.0,16.84782608695652,4.054054054054057
2018,590000.0,400.0,9.76744186046512,3.8961038961038863
2019,581000.0,420.0,-1.5254237288135575,5.000000000000004
2020,615000.0,415.0,5.851979345955249,-1.1904761904761862
2021,720000.0,400.0,17.07317073170731,-3.6144578313253017
2022,748275.0,422.5,3.9270833333333366,5.624999999999991
2023,740000.0,470.0,-1.1058768500885385,11.242603550295849
2024,739500.0,537.0,-0.06756756756757243,14.255319148936163
2025,755000.0,560.0,2.096010818120342,4.283054003724396
